structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
num_negative_ionizable,PHLDB1 (23187),0.9823327507733915,0.9834320915324654,0.001099340759073808,1534.0957731381354,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,NCKAP1 (10787),0.9823327507733915,0.9840361068694845,0.0017033560960929561,2466.9165985826457,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,ARHGAP29 (9411),0.9823327507733915,0.9846511347174755,0.0023183839440839016,3492.1823731326317,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,PTPN7 (5778),0.9823327507733915,0.9841523357893392,0.0018195850159477,2654.5745170704554,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,ARHGAP29 (9411),0.9823327507733915,0.983582149841698,0.001249399068306456,1759.4329452834177,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,WFS1 (7466),0.9823327507733915,0.9835457536989496,0.0012130029255580377,1704.400622537876,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,TJP1 (7082),0.9823327507733915,0.9837941753336318,0.001461424560240232,2084.937763326221,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,SNX21 (90203),0.9823327507733915,0.983537865786571,0.0012051150131794364,1692.5058891803887,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,PHLDB1 (23187),0.9823327507733915,0.9840651055687889,0.0017323547953973506,2513.4802770414026,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,NCKAP1 (10787),0.9823327507733915,0.9829424364833798,0.0006096857099882058,826.3743881821725,1.1102230246251565e-16,1.1937881985216736e-16,True
num_hydrophobic_pharmacophore,CD151 (977),0.9823327507733915,0.9838938820340799,0.0015611312606883532,2240.9717117114983,1.1102230246251565e-16,1.1937881985216736e-16,True
fraction_csp3,WAS (7454),0.9823327507733915,0.9832621665857494,0.0009294158123578367,1283.80376658655,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,PARVA (55742),0.9823327507733915,0.982987577841473,0.0006548270680813983,889.9145385040222,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,CNN3 (1266),0.9823327507733915,0.9835196932721125,0.0011869424987209776,1665.1456203779505,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,CD151 (977),0.9823327507733915,0.9824909990658068,0.00015824829241528615,208.96112430346807,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,FAM114A1 (92689),0.9823327507733915,0.9840065186324006,0.0016737678590090788,2419.5803284383915,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,PTTG1IP (754),0.9823327507733915,0.9833308725719753,0.0009981217985837176,1384.3901597666902,1.1102230246251565e-16,1.1937881985216736e-16,True
ligand_surface_area,GNA11 (2767),0.9823327507733915,0.9836010481512516,0.0012682973778600504,1788.1042426721867,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,TEAD1 (7003),0.9823327507733915,0.9843130777780569,0.0019803270046653276,2918.6834549238074,1.1102230246251565e-16,1.1937881985216736e-16,True
num_heavy_atoms,CUEDC1 (404093),0.9823327507733915,0.9835502952211286,0.001217544447737029,1711.254275385933,1.1102230246251565e-16,1.1937881985216736e-16,True
