structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
dfg_GLY833_min_dist,HABP4 (22927),0.9620453941232907,0.9645567034287474,0.0025113093054567326,391.18648705695784,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,VKORC1 (79001),0.9620453941232907,0.9640109083026285,0.0019655141793377684,301.5248029979049,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,MACF1 (23499),0.9620453941232907,0.9638020377180818,0.0017566435947911074,267.9274930259309,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,CEP170 (9859),0.9620453941232907,0.9655469987501089,0.0035016046268181444,561.1226436978043,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,C5orf24 (134553),0.9620453941232907,0.9661681621102717,0.004122767986980969,672.792359974989,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,P3H1 (64175),0.9620453941232907,0.9648989113799478,0.0028535172566570566,448.8256459659721,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,DAPP1 (27071),0.9620453941232907,0.9646113941697452,0.002566000046454464,400.3233787854826,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,CALU (813),0.9620453941232907,0.9642895034845858,0.0022441093612950436,346.9491884091293,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,DYNLRB1 (83658),0.9620453941232907,0.9645857474667494,0.002540353343458701,396.03520633582826,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,SMPD1 (6609),0.9620453941232907,0.9645069874879589,0.002461593364668224,382.90514116610547,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,TLCD5 (219902),0.9620453941232907,0.9633672818904022,0.001321887767111507,199.2247023654652,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,ETV1 (2115),0.9620453941232907,0.9643045875034415,0.0022591933801507924,349.4288419559571,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,POMGNT1 (55624),0.9620453941232907,0.966371916199339,0.004326522076048334,710.3208295619022,1.1102230246251565e-16,1.1445598192011924e-16,True
