GDSC_CELL_LINE,DepMap_ModelID,DepMap_CellLineName,DepMap_StrippedName,COSMIC_ID,Match_Method,Confidence,Fuzzy_Score
AN3-CA,ACH-000940,AN3 CA,AN3CA,910781,COSMIC_ID,HIGH,
A204,ACH-000201,A-204,A204,910784,COSMIC_ID,HIGH,
CAPAN-2,ACH-000107,Capan-2,CAPAN2,910915,COSMIC_ID,HIGH,
NY,ACH-002178,NY,NY,910849,COSMIC_ID,HIGH,
A427,ACH-000757,A427,A427,910851,COSMIC_ID,HIGH,
CAL-85-1,ACH-000857,CAL-85-1,CAL851,910852,COSMIC_ID,HIGH,
CHL-1,ACH-001024,CHL-1,CHL1,910853,COSMIC_ID,HIGH,
RL,ACH-000371,RL,RL,910861,COSMIC_ID,HIGH,
NCI-H146,ACH-000506,NCI-H146,NCIH146,910899,COSMIC_ID,HIGH,
NCI-H1651,ACH-000893,NCI-H1651,NCIH1651,910900,COSMIC_ID,HIGH,
RPMI-7951,ACH-000348,RPMI-7951,RPMI7951,910903,COSMIC_ID,HIGH,
SCC-4,ACH-000238,SCC-4,SCC4,910904,COSMIC_ID,HIGH,
SNU-C1,ACH-000722,SNU-C1,SNUC1,910905,COSMIC_ID,HIGH,
ST486,ACH-000567,ST486,ST486,910906,COSMIC_ID,HIGH,
SW1990,ACH-000155,SW 1990,SW1990,910907,COSMIC_ID,HIGH,
UACC-812,ACH-000568,UACC-812,UACC812,910910,COSMIC_ID,HIGH,
C3A,ACH-001021,C3A,C3A,910850,COSMIC_ID,HIGH,
SNU-423,ACH-000493,SNU-423,SNU423,909737,COSMIC_ID,HIGH,
KYM-1,ACH-000607,KYM-1,KYM1,1240166,COSMIC_ID,HIGH,
LN-18,ACH-000819,LN-18,LN18,1240168,COSMIC_ID,HIGH,
L-1236,ACH-000702,L-1236,L1236,1330935,COSMIC_ID,HIGH,
MDA-MB-330,ACH-001358,MDA-MB-330,MDAMB330,1330941,COSMIC_ID,HIGH,
